Paragraph_ID|Filename|Paragraph|cleaned_paragraph|cluster_id|classified_class|pair_index|similarity|nli_score|pair_Paragraph_ID|pair_Filename|pair_Paragraph
BaselFramework.di.json_p262_i1|BaselFramework.di.json|12 Under the other approaches, when there is a maturity mismatch the credit protection arrangement may only be recognised if the original maturity of the arrangement is greater than or equal to one year, and its residual maturity is greater than or equal to three months. In such cases, credit risk mitigation may be partially recognised as detailed below in CRE22.13.|approach maturity mismatch credit protection arrangement may recognised original maturity arrangement greater equal one year residual maturity greater equal three month case credit risk mitigation may partially recognised detailed|3|Risk_MaturityMismatch|8|0.9344649314880371|0.44096139073371887|BaselFramework.di.json_p439_i9|BaselFramework.di.json|63 A maturity mismatch exists when the residual maturity of a hedge is less than that of the underlying exposure.
BaselFramework.di.json_p262_i1|BaselFramework.di.json|12 Under the other approaches, when there is a maturity mismatch the credit protection arrangement may only be recognised if the original maturity of the arrangement is greater than or equal to one year, and its residual maturity is greater than or equal to three months. In such cases, credit risk mitigation may be partially recognised as detailed below in CRE22.13.|approach maturity mismatch credit protection arrangement may recognised original maturity arrangement greater equal one year residual maturity greater equal three month case credit risk mitigation may partially recognised detailed|3|Risk_MaturityMismatch|10|0.9464628100395203|0.6764171719551086|BaselFramework.di.json_p440_i2|BaselFramework.di.json|terminate. This implies that the effective maturity of all the tranches of the synthetic securitisation may differ from that of the underlying exposures. Banks that synthetically securitise exposures held on their balance sheet by purchasing tranched credit protection must treat such maturity mismatches in the following manner: For securitisation exposures that are assigned a risk weight of 1250%, maturity mismatches are not taken into account. For all other securitisation exposures, the bank must apply the maturity mismatch treatment set forth in CRE22.10 to CRE22.14. When the exposures being hedged have different maturities, the longest maturity must be used.
BaselFramework.di.json_p266_i5|BaselFramework.di.json|33 For collateral to be recognised in the simple approach, it must be pledged for at least the life of the exposure and it must be marked to market and revalued with a minimum frequency of six months. Those portions of exposures collateralised by the market value of recognised collateral receive the risk weight applicable to the collateral instrument. The risk weight on the collateralised portion is subject to a floor of 20% except under the conditions specified in CRE22.36 to CRE22.39. The remainder of the exposure must be assigned the risk weight appropriate to the counterparty. Maturity mismatches are not allowed under the simple approach (see CRE22.10 to CRE22.11).|collateral recognised simple approach must pledged least life exposure must marked market revalued minimum frequency six month portion exposure collateralised market value recognised collateral receive risk weight applicable collateral instrument risk weight collateralised portion subject floor except condition specified remainder exposure must assigned risk weight appropriate counterparty maturity mismatch allowed simple approach see|19|Risk_MaturityMismatch|10|0.9456149935722351|0.6813342571258545|BaselFramework.di.json_p440_i2|BaselFramework.di.json|terminate. This implies that the effective maturity of all the tranches of the synthetic securitisation may differ from that of the underlying exposures. Banks that synthetically securitise exposures held on their balance sheet by purchasing tranched credit protection must treat such maturity mismatches in the following manner: For securitisation exposures that are assigned a risk weight of 1250%, maturity mismatches are not taken into account. For all other securitisation exposures, the bank must apply the maturity mismatch treatment set forth in CRE22.10 to CRE22.14. When the exposures being hedged have different maturities, the longest maturity must be used.
BaselFramework.di.json_p272_i6|BaselFramework.di.json|47 In the case of maturity mismatches, the value of the collateral received (collateral amount) must be adjusted in accordance with CRE22.10 to CRE22.14.|case maturity mismatch value collateral received collateral amount must adjusted accordance|6|Risk_MaturityMismatch|4|0.9717891216278076|0.4174630641937256|BaselFramework.di.json_p282_i13|BaselFramework.di.json|72 In the case of maturity mismatches, the amount of credit protection that is provided must be adjusted in accordance with CRE22.10 to CRE22.14.
BaselFramework.di.json_p330_i12|BaselFramework.di.json|56 The treatment of maturity mismatches under IRB is identical to that in the standardised approach (see CRE22.10 to CRE22.14).|treatment maturity mismatch irb identical standardised approach see|6|Risk_MaturityMismatch|27|0.9320735335350037|0.43092843890190125|CELEX_32013R0575_EN_TXT.di.json_p149_i26|CELEX_32013R0575_EN_TXT.di.json|Institutions shall use CVAM as CvA further adjusted for maturity mismatch in the formula for the calculation of the fully adjusted value of the exposure (E*) set out in Article 223(5).
BaselFramework.di.json_p439_i9|BaselFramework.di.json|63 A maturity mismatch exists when the residual maturity of a hedge is less than that of the underlying exposure.|maturity mismatch exists residual maturity hedge less underlying exposure|19|Risk_MaturityMismatch|38|0.936987042427063|0.8542351722717285|Guidelines on CRM for A-IRB institutions.di.json_p14_i6|Guidelines on CRM for A-IRB institutions.di.json|· An institution has an exposure of 100 to a retail client, which is secured by a netting agreement with a deposit of 30 from this retail client (no maturity mismatch).
BaselFramework.di.json_p440_i2|BaselFramework.di.json|terminate. This implies that the effective maturity of all the tranches of the synthetic securitisation may differ from that of the underlying exposures. Banks that synthetically securitise exposures held on their balance sheet by purchasing tranched credit protection must treat such maturity mismatches in the following manner: For securitisation exposures that are assigned a risk weight of 1250%, maturity mismatches are not taken into account. For all other securitisation exposures, the bank must apply the maturity mismatch treatment set forth in CRE22.10 to CRE22.14. When the exposures being hedged have different maturities, the longest maturity must be used.|terminate implies effective maturity tranche synthetic securitisation may differ underlying exposure bank synthetically securitise exposure held balance sheet purchasing tranched credit protection must treat maturity mismatch following manner securitisation exposure assigned risk weight maturity mismatch taken account securitisation exposure bank must apply maturity mismatch treatment set forth exposure hedged different maturity longest maturity must used|19|Risk_MaturityMismatch|51|0.9334027171134949|0.4606621563434601|L_2013321EN.01000602_1_1.json_p1_i847|L_2013321EN.01000602_1_1.json|For the purposes of calculating risk-weighted exposure amounts in accordance with Article 249, any maturity mismatch between the credit protection which constitutes a tranche and by which the transfer of risk is achieved and the securitised exposures shall be taken into consideration as follows: (a) the maturity of the securitised exposures shall be taken to be the longest maturity of any of those exposures subject to a maximum of five years. The maturity of the credit protection shall be determined in accordance with Chapter 4; (b) an originator institution shall ignore any maturity mismatch in calculating risk-weighted exposure amounts for tranches appearing pursuant to this Section with a risk weighting of 1250 %. For all other tranches, the maturity mismatch treatment set out in Chapter 4 shall be applied in accordance with the following formula:RW*RWSPtt*Tt*RWAssTtTt*where:RW*risk-weighted exposure amounts for the purposes of Article 92 (3) (a);RWAssrisk-weighted exposure amounts for exposures if they had not been securitised, calculated on a pro-rata basis;RWSPrisk-weighted exposure amounts calculated under Article 249 if there was no maturity mismatch;Tmaturity of the underlying exposures expressed in years;tmaturity of credit protection. expressed in years;t*0,25.
CELEX_32013R0575_EN_TXT.di.json_p148_i25|CELEX_32013R0575_EN_TXT.di.json|GA = the amount of credit risk protection as calculated under Article 233(3) (G*) further adjusted for any maturity mismatch as laid down in Section 5;|ga amount credit risk protection calculated article g adjusted maturity mismatch laid section|3|Risk_MaturityMismatch|27|0.9426997303962708|0.6261401772499084|CELEX_32013R0575_EN_TXT.di.json_p149_i26|CELEX_32013R0575_EN_TXT.di.json|Institutions shall use CVAM as CvA further adjusted for maturity mismatch in the formula for the calculation of the fully adjusted value of the exposure (E*) set out in Article 223(5).
CELEX_32013R0575_EN_TXT.di.json_p149_i6|CELEX_32013R0575_EN_TXT.di.json|For the purposes of this Article, GA is the value of G* as calculated under Article 233(3) further adjusted for any maturity mismatch as laid down in Section 5. E is the exposure value determined in accordance with Section 5 of Chapter 3. For this purpose, institutions shall calculate the exposure value of the items listed in Article 166(8) to (10) by using a conversion factor or percentage of 100 % rather than the conversion factors or percentages indicated in those para- graphs.|purpose article ga value g calculated article adjusted maturity mismatch laid section e exposure value determined accordance section chapter purpose institution shall calculate exposure value item listed article using conversion factor percentage rather conversion factor percentage indicated para graph|21|Risk_MaturityMismatch|27|0.9388091564178467|0.44491419196128845|CELEX_32013R0575_EN_TXT.di.json_p149_i26|CELEX_32013R0575_EN_TXT.di.json|Institutions shall use CVAM as CvA further adjusted for maturity mismatch in the formula for the calculation of the fully adjusted value of the exposure (E*) set out in Article 223(5).
CELEX_32013R0575_EN_TXT.di.json_p149_i26|CELEX_32013R0575_EN_TXT.di.json|Institutions shall use CVAM as CvA further adjusted for maturity mismatch in the formula for the calculation of the fully adjusted value of the exposure (E*) set out in Article 223(5).|institution shall use cvam cva adjusted maturity mismatch formula calculation fully adjusted value exposure e set article|19|Risk_MaturityMismatch|37|0.936734139919281|0.5031499266624451|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p202_i7|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|a. imposing specific liquidity requirements, including restrictions on maturity mismatches between assets and liabilities in accordance with Article 104(1)(k) of Directive 2013/36/EU; and/or,
