Paragraph_ID|Filename|Paragraph|cleaned_paragraph|cluster_id|classified_class|pair_index|similarity|nli_score|pair_Paragraph_ID|pair_Filename|pair_Paragraph
BaselFramework.di.json_p1282_i4|BaselFramework.di.json|29 Reputational risk can be defined as the risk arising from negative perception on the part of customers, counterparties, shareholders, investors, debt-holders, market analysts, other relevant parties or regulators that can adversely affect a bank's ability to maintain existing, or establish new, business relationships and continued access to sources of funding (eg through the interbank or securitisation markets). Reputational risk is multidimensional and reflects the perception of other market participants. Furthermore, it exists throughout the organisation and exposure to reputational risk is essentially a function of the adequacy of the bank's internal risk management processes, as well as the manner and efficiency with which management responds to external influences on bank-related transactions.|reputational risk defined risk arising negative perception part customer counterparties shareholder investor debtholders market analyst relevant party regulator adversely affect bank ability maintain existing establish new business relationship continued access source funding eg interbank securitisation market reputational risk multidimensional reflects perception market participant furthermore exists throughout organisation exposure reputational risk essentially function adequacy bank internal risk management process well manner efficiency management responds external influence bankrelated transaction|16|Risk_ReputationImpact|16|0.9467002153396606|0.7016242146492004|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p22_i3|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|'Reputational risk' means the current or prospective risk to the institution's earnings, own funds or liquidity arising from damage to the institution's reputation.
BaselFramework.di.json_p1283_i2|BaselFramework.di.json|33 Reputational risk also may affect a bank's liabilities, since market confidence and a bank's ability to fund its business are closely related to its reputation. For instance, to avoid damaging its reputation, a bank may call its liabilities even though this might negatively affect its liquidity profile. This is particularly true for liabilities that are components of regulatory capital, such as hybrid/subordinated debt. In such cases, a bank's capital position is likely to suffer.|reputational risk also may affect bank liability since market confidence bank ability fund business closely related reputation instance avoid damaging reputation bank may call liability even though might negatively affect liquidity profile particularly true liability component regulatory capital hybridsubordinated debt case bank capital position likely suffer|10|Risk_ReputationImpact|16|0.9537361860275269|0.7549148201942444|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p22_i3|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|'Reputational risk' means the current or prospective risk to the institution's earnings, own funds or liquidity arising from damage to the institution's reputation.
Final Report on GL on internal governance under IFD.di.json_p32_i5|Final Report on GL on internal governance under IFD.di.json|a. the investment firm has in place adequate policies and procedures and documented processes (e.g. applicable limits and information flows) for the consideration, compliance, approval and risk management of such activities, taking into account the consequences for the group's organisational and operational structure, its risk profile and its reputational risk;|investment firm place adequate policy procedure documented process eg applicable limit information flow consideration compliance approval risk management activity taking account consequence group organisational operational structure risk profile reputational risk|16|Risk_ReputationImpact|30|0.9918424487113953|0.7882692217826843|Final report on Guidelines on internal governance under CRD.di.json_p34_i6|Final report on Guidelines on internal governance under CRD.di.json|a. the institution has in place adequate policies and procedures and documented processes (e.g. applicable limits, information flows) for the consideration, compliance, approval and risk management of such activities, taking into account the consequences for the group's organisational and operational structure, its risk profile and its reputational risk;
Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p184_i22|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|. The risk posed by the institution's funding profile and its sustainability is medium to high. . The risk posed by the stability of funding is medium to high. · Other drivers of funding risk (e.g. reputational risk, access to|risk posed institution funding profile sustainability medium high risk posed stability funding medium high driver funding risk eg reputational risk access|16|Risk_ReputationImpact|27|0.9890782833099365|0.5015870332717896|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json_p185_i5|Final Report on Guidelines on common procedures and methodologies for SREP and supervisory stress testing.di.json|. The risk posed by the institution's funding profile and its sustainability is high. . The risk posed by the stability of funding is high. · Other drivers of funding risk (e.g. reputational risk, access to funding markets, etc.) are high.
L_2016119EN.01000101_1.json_p1_i79|L_2016119EN.01000101_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from personal data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of personal data protected by professional secrecy, unauthorised reversal of pseudonymisation, or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or prevented from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs, trade union membership, and the processing of genetic data, data concerning health or data concerning sex life or criminal convictions and offences or related security measures; where personal aspects are evaluated, in particular analysing or predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular of children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.|risk right freedom natural person varying likelihood severity may result personal data processing could lead physical material nonmaterial damage particular processing may give rise discrimination identity theft fraud financial loss damage reputation loss confidentiality personal data protected professional secrecy unauthorised reversal pseudonymisation significant economic social disadvantage data subject might deprived right freedom prevented exercising control personal data personal data processed reveal racial ethnic origin political opinion religion philosophical belief trade union membership processing genetic data data concerning health data concerning sex life criminal conviction offence related security measure personal aspect evaluated particular analysing predicting aspect concerning performance work economic situation health personal preference interest reliability behaviour location movement order create use personal profile personal data vulnerable natural person particular child processed processing involves large amount personal data affect large number data subject|11|Risk_ReputationImpact|54|0.9961786270141602|0.9188687205314636|L_2016119EN.01008901_1.json_p1_i54|L_2016119EN.01008901_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of data protected by professional secrecy, unauthorised reversal of pseudonymisation or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs or trade union membership; where genetic data or biometric data are processed in order to uniquely identify a person or where data concerning health or data concerning sex life and sexual orientation or criminal convictions and offences or related security measures are processed; where personal aspects are evaluated, in particular analysing and predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.
L_2016119EN.01000101_1.json_p1_i79|L_2016119EN.01000101_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from personal data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of personal data protected by professional secrecy, unauthorised reversal of pseudonymisation, or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or prevented from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs, trade union membership, and the processing of genetic data, data concerning health or data concerning sex life or criminal convictions and offences or related security measures; where personal aspects are evaluated, in particular analysing or predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular of children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.|risk right freedom natural person varying likelihood severity may result personal data processing could lead physical material nonmaterial damage particular processing may give rise discrimination identity theft fraud financial loss damage reputation loss confidentiality personal data protected professional secrecy unauthorised reversal pseudonymisation significant economic social disadvantage data subject might deprived right freedom prevented exercising control personal data personal data processed reveal racial ethnic origin political opinion religion philosophical belief trade union membership processing genetic data data concerning health data concerning sex life criminal conviction offence related security measure personal aspect evaluated particular analysing predicting aspect concerning performance work economic situation health personal preference interest reliability behaviour location movement order create use personal profile personal data vulnerable natural person particular child processed processing involves large amount personal data affect large number data subject|11|Risk_ReputationImpact|64|0.972822368144989|0.9871547222137451|L_2018295EN.01003901_1.json_p1_i50|L_2018295EN.01003901_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from personal data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of personal data protected by professional secrecy, unauthorised reversal of pseudonymisation, or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or prevented from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs, trade union membership, and the processing of genetic data, data concerning health or data concerning sex life or criminal convictions and offences or related security measures; where personal aspects are evaluated, in particular analysing or predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular of children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.
L_2016119EN.01008901_1.json_p1_i54|L_2016119EN.01008901_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of data protected by professional secrecy, unauthorised reversal of pseudonymisation or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs or trade union membership; where genetic data or biometric data are processed in order to uniquely identify a person or where data concerning health or data concerning sex life and sexual orientation or criminal convictions and offences or related security measures are processed; where personal aspects are evaluated, in particular analysing and predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.|risk right freedom natural person varying likelihood severity may result data processing could lead physical material nonmaterial damage particular processing may give rise discrimination identity theft fraud financial loss damage reputation loss confidentiality data protected professional secrecy unauthorised reversal pseudonymisation significant economic social disadvantage data subject might deprived right freedom exercising control personal data personal data processed reveal racial ethnic origin political opinion religion philosophical belief trade union membership genetic data biometric data processed order uniquely identify person data concerning health data concerning sex life sexual orientation criminal conviction offence related security measure processed personal aspect evaluated particular analysing predicting aspect concerning performance work economic situation health personal preference interest reliability behaviour location movement order create use personal profile personal data vulnerable natural person particular child processed processing involves large amount personal data affect large number data subject|11|Risk_ReputationImpact|64|0.9712139368057251|0.8046292662620544|L_2018295EN.01003901_1.json_p1_i50|L_2018295EN.01003901_1.json|The risk to the rights and freedoms of natural persons, of varying likelihood and severity, may result from personal data processing which could lead to physical, material or non-material damage, in particular: where the processing may give rise to discrimination, identity theft or fraud, financial loss, damage to the reputation, loss of confidentiality of personal data protected by professional secrecy, unauthorised reversal of pseudonymisation, or any other significant economic or social disadvantage; where data subjects might be deprived of their rights and freedoms or prevented from exercising control over their personal data; where personal data are processed which reveal racial or ethnic origin, political opinions, religion or philosophical beliefs, trade union membership, and the processing of genetic data, data concerning health or data concerning sex life or criminal convictions and offences or related security measures; where personal aspects are evaluated, in particular analysing or predicting aspects concerning performance at work, economic situation, health, personal preferences or interests, reliability or behaviour, location or movements, in order to create or use personal profiles; where personal data of vulnerable natural persons, in particular of children, are processed; or where processing involves a large amount of personal data and affects a large number of data subjects.
L_2016282EN.01005301_1.json_p1_i42|L_2016282EN.01005301_1.json|The Netherlands have questioned the impact of any aid on the internal market for clubs not playing football at European level and more especially for MVV. In this regard, the Commission points out that MVV is a potential participant in European football tournaments each year. Even as a second league club it is in principle able to influence the contest for the national football cup and to win the cup, which would allow it to play for the European cup the year after. Over a short period of time, even a low ranking football club can advance to a higher levelThis has in fact been demonstrated by another Dutch professional football club, PEC Zwolle, which also played in the second league in 2010/2011. PEC was promoted to the first league in 2012/2013 and in 2013/2014 it won the national football cup entitling it to play at European level in 2014/2015. . The Commission further points out that professional football clubs deploy economic activities in several markets other than participating in football competitions, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if state resources are used to provide a selective advantage to a professional football club, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), point 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1. . More specifically regarding MVV, during 2010 several players of MVV had the nationality of other Member States, notably the Belgian nationality.|netherlands questioned impact aid internal market club playing football european level especially mvv regard commission point mvv potential participant european football tournament year even second league club principle able influence contest national football cup win cup would allow play european cup year short period time even low ranking football club advance higher levelthis fact demonstrated another dutch professional football club pec zwolle also played second league pec promoted first league national football cup entitling play european level commission point professional football club deploy economic activity several market participating football competition transfer market professional player publicity sponsorship merchandising medium coverage aid professional football club strengthens position market cover several member state therefore state resource used provide selective advantage professional football club aid likely potential distorting competition affect trade member state within meaning article treatycommission decision regarding germany march multifunktionsarena der stadt erfurt case sa point multifunktionsarena der stadt jena case sa summary notice oj c p october fußballstadion chemnitz case sa summary notice oj c p specifically regarding mvv several player mvv nationality member state notably belgian nationality|9|Risk_ReputationImpact|60|0.9674912691116333|0.5268615484237671|L_2017016EN.01002801_1.json_p1_i17|L_2017016EN.01002801_1.json|Professional football clubs deploy economic activities in several markets, other than participating in football competitions, which have an international dimension, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if State resources are used to provide a selective advantage to a professional football club, regardless of the league in which it plays, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), point 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1, points 12-14; Commission Decisions regarding Spain of 18 December 2013 on possible State aid to four Spanish professional football clubs (Case SA. 29769 (2013/C)), point 28, Real Madrid CF (Case SA. 33754 (2013/C)), point 20, and alleged aid in favour of three Valencia football clubs (Case SA. 36387 (2013/C)), point 16, published in OJ C 69, 7. 3. 2014, p. 99. .
L_2016282EN.01007501_1.json_p1_i39|L_2016282EN.01007501_1.json|Professional football clubs carry on economic activities in several markets, other than participating in football competitions, which have an international dimension, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if State resources are used to provide a selective advantage to a professional football club, regardless of the league in which it plays, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), paragraph 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1, paragraphs 12-14; Commission Decisions regarding Spain of 18 December 2013 on possible State aid to four Spanish professional football clubs (Case SA. 29769 (2013/C)), paragraph 28, Real Madrid CF (Case SA. 33754 (2013/C)), paragraph 20, and alleged aid in favour of three Valencia football clubs (Case SA. 36387 (2013/C)), paragraph 16, published in OJ C 69, 7. 3. 2014, p. 99. .|professional football club carry economic activity several market participating football competition international dimension transfer market professional player publicity sponsorship merchandising medium coverage aid professional football club strengthens position market cover several member state therefore state resource used provide selective advantage professional football club regardless league play aid likely potential distorting competition affect trade member state within meaning article treatycommission decision regarding germany march multifunktionsarena der stadt erfurt case sa paragraph multifunktionsarena der stadt jena case sa summary notice oj c p october fußballstadion chemnitz case sa summary notice oj c p paragraph commission decision regarding spain december possible state aid four spanish professional football club case sa paragraph real madrid cf case sa paragraph alleged aid favour three valencia football club case sa paragraph published oj c p|9|Risk_ReputationImpact|58|0.99278324842453|0.502668023109436|L_2016306EN.01001901_1.json_p1_i63|L_2016306EN.01001901_1.json|Although FC Den Bosch does not participate in football competitions which have an international dimension, as a professional football club it deploys economic activities in several other markets, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if State resources are used to provide a selective advantage to a professional football club, regardless of the league in which it plays, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), point 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1, points 12-14; Commission Decisions regarding Spain of 18 December 2013 on possible State aid to four Spanish professional football clubs (Case SA. 29769 (2013/C)), point 28, Real Madrid CF (Case SA. 33754 (2013/C)), point 20, and alleged aid in favour of three Valencia football clubs (Case SA. 36387 (2013/C)), point 16, published in OJ C 69, 7. 3. 2014, p. 99. .
L_2016282EN.01007501_1.json_p1_i39|L_2016282EN.01007501_1.json|Professional football clubs carry on economic activities in several markets, other than participating in football competitions, which have an international dimension, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if State resources are used to provide a selective advantage to a professional football club, regardless of the league in which it plays, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), paragraph 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1, paragraphs 12-14; Commission Decisions regarding Spain of 18 December 2013 on possible State aid to four Spanish professional football clubs (Case SA. 29769 (2013/C)), paragraph 28, Real Madrid CF (Case SA. 33754 (2013/C)), paragraph 20, and alleged aid in favour of three Valencia football clubs (Case SA. 36387 (2013/C)), paragraph 16, published in OJ C 69, 7. 3. 2014, p. 99. .|professional football club carry economic activity several market participating football competition international dimension transfer market professional player publicity sponsorship merchandising medium coverage aid professional football club strengthens position market cover several member state therefore state resource used provide selective advantage professional football club regardless league play aid likely potential distorting competition affect trade member state within meaning article treatycommission decision regarding germany march multifunktionsarena der stadt erfurt case sa paragraph multifunktionsarena der stadt jena case sa summary notice oj c p october fußballstadion chemnitz case sa summary notice oj c p paragraph commission decision regarding spain december possible state aid four spanish professional football club case sa paragraph real madrid cf case sa paragraph alleged aid favour three valencia football club case sa paragraph published oj c p|9|Risk_ReputationImpact|60|0.993334174156189|0.8260323405265808|L_2017016EN.01002801_1.json_p1_i17|L_2017016EN.01002801_1.json|Professional football clubs deploy economic activities in several markets, other than participating in football competitions, which have an international dimension, such as the transfer market for professional players, publicity, sponsorship, merchandising or media coverage. Aid to a professional football club strengthens its position on each of those markets, most of which cover several Member States. Therefore, if State resources are used to provide a selective advantage to a professional football club, regardless of the league in which it plays, such aid is likely to have the potential of distorting competition and to affect trade between Member States within the meaning of Article 107 (1) of the TreatyCommission Decisions regarding Germany of 20 March 2013 on Multifunktionsarena der Stadt Erfurt (Case SA. 35135 (2012/N)), point 12, and Multifunktionsarena der Stadt Jena (Case SA. 35440 (2012/N)), summary notices in OJ C 140, 18. 5. 2013, p. 1, and of 2 October 2013 on Fußballstadion Chemnitz (Case SA. 36105 (2013/N)), summary notice in OJ C 50, 21. 2. 2014, p. 1, points 12-14; Commission Decisions regarding Spain of 18 December 2013 on possible State aid to four Spanish professional football clubs (Case SA. 29769 (2013/C)), point 28, Real Madrid CF (Case SA. 33754 (2013/C)), point 20, and alleged aid in favour of three Valencia football clubs (Case SA. 36387 (2013/C)), point 16, published in OJ C 69, 7. 3. 2014, p. 99. .
